"adm1","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","iso","umd_tree_cover_loss__year"
11,1382705.399030209,7204.223917761875,2534959.8982220497,"MMR",2011
12,4647090.438751367,21485.608206900484,8519665.804377504,"MMR",2011
13,7239840.2019907795,33341.93734390813,13273040.370316427,"MMR",2011
14,4138436.321482172,17874.7843277016,7587133.256050648,"MMR",2011
15,91064.75780600356,556.9586289551138,166952.0559776732,"MMR",2011
1,589490.5701446387,3099.9001257499403,1080732.7119318382,"MMR",2012
2,1941451.3532582289,10368.506584981407,3559327.4809734197,"MMR",2012
3,2617704.9198128665,11544.135202731493,4799125.686323589,"MMR",2012
4,5173634.433284629,22517.952929688807,9484996.46102182,"MMR",2012
5,1014275.7274562587,4261.2981819906445,1859505.5003364745,"MMR",2012
6,4367611.197892219,23386.95013650121,8007287.196135735,"MMR",2012
7,681364.7044862069,3358.1711679497303,1249168.6248913791,"MMR",2012
8,372563.02141884767,1771.0658689042232,683032.205934554,"MMR",2012
9,1347902.9380311097,7578.214314989767,2471155.3863903675,"MMR",2012
10,22.482336762318422,0.14504415586479208,41.21761739758377,"MMR",2012
11,1375632.0233609995,7321.942137728437,2521992.0428284993,"MMR",2012
12,6169272.300865859,26894.79411774408,11310332.551587407,"MMR",2012
13,16934266.471792415,79741.3054844925,31046155.19828609,"MMR",2012
14,5087363.409479518,22440.19342819105,9326832.917379119,"MMR",2012
15,135995.72515151778,904.1375729948735,249325.49611111585,"MMR",2012
1,428319.5188898231,2453.893655719553,785252.4512980091,"MMR",2013
2,1467091.9233877352,7671.311338244717,2689668.5262108473,"MMR",2013
3,3993175.3011848046,17812.20930061759,7320821.385505475,"MMR",2013
4,4871833.713648757,21573.70697350808,8931695.141689388,"MMR",2013
5,1394304.4968207085,5958.294692984279,2556224.910837965,"MMR",2013
6,4877099.578424935,25686.586025901994,8941349.227112379,"MMR",2013
7,719661.1577266013,3544.9861332297496,1319378.7891654358,"MMR",2013
8,577725.7949417725,2863.266028653424,1059163.9573932495,"MMR",2013
9,1560320.44168265,9020.547582975145,2860587.476418191,"MMR",2013
10,9.861540381365087,0.07251132633356681,18.079490699169327,"MMR",2013
11,1685488.2896708285,8341.578887404337,3090061.864396519,"MMR",2013
12,4863502.56019772,20458.018359044436,8916421.360362485,"MMR",2013
13,19883306.96241762,94688.92211758147,36452729.431098975,"MMR",2013
14,6107216.670845254,27719.72082887657,11196563.896549633,"MMR",2013
15,57174.43090658591,393.3342861574053,104819.78999540751,"MMR",2013
1,615486.3482456343,3634.99427924008,1128391.6384503292,"MMR",2014
2,4177755.190837902,20992.550071963557,7659217.849869488,"MMR",2014
3,6326745.157206037,27955.39699239594,11599032.788211066,"MMR",2014
4,5591783.111899124,25749.90196655446,10251602.371815063,"MMR",2014
5,1655561.5430757261,7346.236384240337,3035196.162305498,"MMR",2014
6,6876618.388366073,35165.115208912765,12607133.712004468,"MMR",2014
7,980898.3976587405,4851.879774278924,1798313.7290410239,"MMR",2014
8,800255.3654111773,4021.516617230887,1467134.8365871585,"MMR",2014
9,1646995.488047131,9665.224605363934,3019491.728086407,"MMR",2014
10,8.41253612828706,0.07252186317488846,15.42298290185961,"MMR",2014
11,1971290.5917702063,9940.720266940087,3614032.7515787114,"MMR",2014
12,6456967.801563507,27599.660502468007,11837774.302866425,"MMR",2014
13,23009179.285124946,113254.49767340421,42183495.356062405,"MMR",2014
14,8899037.828628533,40623.953650233365,16314902.68581898,"MMR",2014
15,94504.86562745954,642.8679166420577,173258.92031700915,"MMR",2014
1,253424.85709148576,1479.0496138641533,464612.2380010572,"MMR",2015
2,1691627.060991787,8317.948285211327,3101316.278484943,"MMR",2015
3,7590289.044623085,33532.48576574071,13915529.915142324,"MMR",2015
4,5272384.118826256,24120.027771258006,9666037.55118147,"MMR",2015
5,1423849.0398611873,6223.106715344169,2610389.906412177,"MMR",2015
6,5262820.871863557,25022.212235596322,9648504.931749854,"MMR",2015
7,614077.5798035517,2852.303379029232,1125808.8963065115,"MMR",2015
8,738958.8986834526,3622.080057114431,1354757.980919663,"MMR",2015
9,984617.4969226744,5491.573859746097,1805132.0776915695,"MMR",2015
10,26.6906136440295,0.21758630908750604,48.932791680720754,"MMR",2015
11,1922612.7736793212,9809.772857719407,3524790.0850787545,"MMR",2015
12,5397160.218938382,22656.09262075055,9894793.734720368,"MMR",2015
13,24436112.58120109,116776.84192833531,44799539.732202,"MMR",2015
14,7692231.168737243,32946.58132629043,14102423.809351612,"MMR",2015
15,65740.01730238496,454.87563470945884,120523.36505437242,"MMR",2015
1,622726.2211074528,3369.6688270379373,1141664.7386969968,"MMR",2016
2,2187760.245946107,10397.462059755788,4010893.7842345294,"MMR",2016
3,10845923.33344384,47573.71974907781,19884192.777980372,"MMR",2016
